Target Return (%),Expected Return (%),Annualized Volatility (%),Weights
39.11,39.11,17.83,"[0.00000000e+00 1.53854300e-02 9.96791406e-02 2.73771806e-01
 2.65669306e-02 9.68721761e-02 0.00000000e+00 1.39319979e-17
 4.64692987e-01 2.30315295e-02]"
39.69,39.69,18.04,"[4.30970364e-18 1.29139671e-02 1.01972948e-01 2.83734776e-01
 2.77859856e-02 9.77467834e-02 1.55854062e-18 5.63785130e-18
 4.67784806e-01 8.06073465e-03]"
40.27,40.27,18.26,"[4.21516918e-18 6.91783616e-03 9.76260329e-02 2.96873540e-01
 2.39971830e-02 1.03370766e-01 2.59276785e-18 0.00000000e+00
 4.71192766e-01 2.18755452e-05]"
40.85,40.85,18.49,"[0.00000000e+00 6.87850109e-18 8.83709067e-02 3.12920925e-01
 1.25648846e-02 1.14310956e-01 3.77574632e-18 1.93969462e-18
 4.71832328e-01 0.00000000e+00]"
41.43,41.43,18.73,"[7.30573852e-18 0.00000000e+00 7.61576462e-02 3.27525164e-01
 1.53793666e-03 1.27017959e-01 6.65094846e-19 5.03157782e-18
 4.67761294e-01 0.00000000e+00]"
42.01,42.01,19.0,"[3.33698951e-18 0.00000000e+00 5.87723322e-02 3.47078802e-01
 2.08540781e-18 1.42029876e-01 0.00000000e+00 8.38115641e-18
 4.52118990e-01 3.49889687e-19]"
42.59,42.59,19.29,"[0.00000000e+00 0.00000000e+00 3.87110846e-02 3.68241483e-01
 0.00000000e+00 1.56426952e-01 1.07243347e-17 0.00000000e+00
 4.36620480e-01 0.00000000e+00]"
43.17,43.17,19.62,"[0.00000000e+00 0.00000000e+00 1.53921387e-02 3.83291977e-01
 9.13551728e-18 1.75987054e-01 1.86424814e-17 1.15424842e-17
 4.25328830e-01 2.88071063e-18]"
43.75,43.75,19.97,"[0.00000000e+00 6.22920717e-18 0.00000000e+00 4.08323767e-01
 6.01859558e-18 1.87468597e-01 0.00000000e+00 1.40191591e-17
 4.04207636e-01 1.87847531e-17]"
44.33,44.33,20.36,"[8.29029183e-18 8.49237828e-18 1.27538525e-17 4.32807956e-01
 0.00000000e+00 2.01534890e-01 0.00000000e+00 0.00000000e+00
 3.65657154e-01 8.65182987e-18]"
44.91,44.91,20.8,"[2.74839335e-17 2.33670914e-17 1.57659481e-17 4.56608631e-01
 1.63295218e-17 2.16227847e-01 0.00000000e+00 2.54543984e-17
 3.27163522e-01 5.30284029e-18]"
45.49,45.49,21.29,"[3.45209841e-18 3.91613626e-17 4.21510052e-17 4.80409322e-01
 0.00000000e+00 2.30920790e-01 0.00000000e+00 1.00586307e-17
 2.88669888e-01 0.00000000e+00]"
46.07,46.07,21.82,"[0.00000000e+00 1.55444564e-17 2.62061074e-17 5.04210026e-01
 0.00000000e+00 2.45613721e-01 1.63582096e-18 7.91538674e-18
 2.50176253e-01 1.61282837e-17]"
46.65,46.65,22.38,"[0.00000000e+00 2.83772581e-17 0.00000000e+00 5.28010690e-01
 0.00000000e+00 2.60306688e-01 7.82695952e-18 0.00000000e+00
 2.11682622e-01 0.00000000e+00]"
47.23,47.23,22.98,"[0.00000000e+00 4.34464924e-18 7.37281229e-18 5.51811399e-01
 0.00000000e+00 2.74999613e-01 3.40129309e-17 0.00000000e+00
 1.73188988e-01 0.00000000e+00]"
47.81,47.81,23.62,"[1.44498279e-18 6.83743928e-17 1.35735037e-17 5.75612039e-01
 0.00000000e+00 2.89692605e-01 2.86539137e-17 1.84431405e-17
 1.34695357e-01 0.00000000e+00]"
48.39,48.39,24.29,"[0.00000000e+00 2.94737543e-18 0.00000000e+00 5.99412736e-01
 2.08160387e-17 3.04385541e-01 0.00000000e+00 0.00000000e+00
 9.62017231e-02 1.41245965e-17]"
48.97,48.97,24.98,"[0.00000000e+00 9.80622451e-19 0.00000000e+00 6.23213426e-01
 0.00000000e+00 3.19078484e-01 3.20725050e-17 0.00000000e+00
 5.77080893e-02 0.00000000e+00]"
49.55,49.55,25.7,"[0.00000000e+00 0.00000000e+00 3.02421909e-17 6.47014106e-01
 3.11195555e-17 3.33771438e-01 0.00000000e+00 6.32029064e-18
 1.92144558e-02 2.43736658e-17]"
50.13,50.13,27.62,"[5.27337214e-17 0.00000000e+00 8.26488499e-17 4.39016907e-01
 8.36892380e-18 5.60983093e-01 1.54153895e-16 0.00000000e+00
 0.00000000e+00 0.00000000e+00]"
50.71,50.71,36.22,"[0.00000000e+00 3.74968530e-14 2.77544844e-16 4.87839268e-08
 2.01607407e-14 9.99999951e-01 1.11017938e-15 2.22035875e-16
 5.55089688e-16 5.16753887e-14]"
